Zipcode,Population,Median Age,Household Income,Per Capita Income
35064,11415.0,36.9,35062.0,18764.0
35068,7966.0,39.1,51240.0,25532.0
35070,235.0,44.6,28750.0,16854.0
35071,15763.0,42.7,56967.0,29328.0
35072,5036.0,43.2,28810.0,16350.0
35073,2506.0,47.2,42717.0,18643.0
35077,12190.0,42.7,35145.0,19212.0
35078,2106.0,43.7,41393.0,24709.0
35079,8861.0,41.7,47149.0,20779.0
35080,16381.0,34.0,82942.0,30569.0
35083,3670.0,33.0,34922.0,16410.0
35085,8832.0,39.4,39563.0,19164.0
35087,1448.0,45.8,31025.0,29569.0
35089,1744.0,48.4,26885.0,16229.0
35091,2932.0,32.9,74651.0,25330.0
35094,14735.0,38.8,52761.0,25064.0
35096,7786.0,41.9,50766.0,25977.0
35097,2047.0,46.0,44931.0,19711.0
35098,1485.0,39.3,29107.0,16188.0
35111,16284.0,37.6,80895.0,30862.0
35112,351.0,32.1,95264.0,21334.0
45238,46532.0,34.8,44797.0,24133.0
45239,27212.0,37.9,47870.0,26126.0
45240,27757.0,37.3,52064.0,23216.0
45241,22768.0,45.9,67500.0,40911.0
45242,22284.0,44.6,80370.0,48758.0
45243,15040.0,44.4,105602.0,65173.0
45244,28709.0,39.2,85675.0,40280.0
45245,19812.0,40.4,64429.0,33189.0
45246,14567.0,40.5,48978.0,27934.0
45247,22189.0,45.2,71001.0,37154.0
45248,24362.0,42.7,65468.0,31433.0
45249,13220.0,39.1,77367.0,48318.0
45251,23157.0,37.5,57764.0,24599.0
45252,4818.0,51.6,79464.0,44479.0
45255,21253.0,42.6,68799.0,36723.0
45301,112.0,64.2,43482.0,20388.0
45302,4116.0,33.8,73920.0,28558.0
45303,2208.0,40.4,40714.0,19012.0
45304,7442.0,41.0,52839.0,23170.0
45305,11065.0,39.0,82546.0,36533.0
45306,2460.0,38.5,57759.0,28839.0
45307,303.0,32.1,34375.0,14698.0
45308,4083.0,41.7,52782.0,24810.0
45309,12418.0,46.1,49014.0,27308.0
45310,237.0,39.4,52500.0,36214.0
45311,6088.0,47.1,48207.0,22571.0
45312,1501.0,41.6,58042.0,24726.0
45314,6064.0,21.7,54340.0,19794.0
45315,4475.0,46.3,77330.0,35605.0
45316,121.0,45.5,38125.0,19679.0
45317,992.0,32.6,71500.0,22349.0
45318,5613.0,41.0,52478.0,25809.0
45319,426.0,33.7,68333.0,26825.0
45320,15319.0,39.4,43815.0,22421.0
45321,940.0,44.7,52837.0,26932.0
45322,21166.0,41.7,53584.0,26609.0
45323,5306.0,47.6,55114.0,30220.0
45324,40500.0,32.0,42829.0,23876.0
45325,2330.0,44.1,65825.0,28355.0
45326,1041.0,41.2,52143.0,22393.0
45327,9328.0,43.7,61452.0,34477.0
45328,598.0,34.5,38250.0,15425.0
45330,895.0,45.7,50259.0,24531.0
45331,22155.0,44.9,37849.0,23262.0
45332,683.0,29.6,33167.0,14778.0
45333,1204.0,34.6,71518.0,26315.0
45334,2264.0,35.7,47833.0,22018.0
45335,6682.0,40.0,53141.0,25609.0
45336,178.0,31.7,67500.0,19180.0
45337,1713.0,47.7,61313.0,26688.0
45338,4972.0,43.8,54572.0,26006.0
45339,1370.0,51.3,39375.0,22427.0
45340,476.0,51.5,54688.0,25813.0
45341,3727.0,43.8,42101.0,20878.0
45342,36652.0,39.5,52539.0,29075.0
45344,16793.0,39.2,45425.0,22872.0
45345,6419.0,40.1,47701.0,23441.0
45346,2257.0,37.7,49545.0,21330.0
45347,4726.0,41.1,52664.0,24148.0
45348,899.0,36.7,42109.0,21273.0
45349,348.0,35.9,51000.0,24768.0
45350,124.0,27.7,67188.0,21073.0
45351,273.0,39.3,58750.0,26992.0
45352,205.0,33.2,36458.0,14680.0
